Entity,Year,Employees,Records,Method
Korea Credit Bureau,2014,1200,20000000,inside job
Kroll Background America,2013,250,1000000,hacked
KT Corporation,2012,33000,8700000,hacked
LexisNexis,2014,13000,1000000,hacked
LifeLabs,2019,5400,15000000,hacked
Lincoln Medical & Mental Health Center,2010,3500,130495,lost / stolen media
LinkedIn - eHarmony - Last.fm,2012,4550,8000000,accidentally published
Living Social,2013,4500,50000000,hacked
MacRumors.com,2014,15,860000,hacked
Marriott International,2018,176000,500000000,hacked
Marriott International,2020,174000,5200000,inside job
Massachusetts Government,2011,70000,210000,poor security
Massive American business hack including 7-Eleven and Nasdaq,2012,48500,160000000,hacked
US Medicaid,2012,67000,780000,hacked
Medical Informatics Engineering,2015,250,3900000,hacked
Memorial Healthcare System,2011,11000,102153,lost / stolen media
Michaels,2014,40000,3000000,hacked
Microsoft,2019,144000,250000000,misconfiguration
Militarysingles.com,2012,90,163792,accidentally published
Ministry of Education (Chile),2008,4500,6000000,accidentally published
Ministry of Health (Singapore),2019,4000,14200,inside job
Mitsubishi Tokyo UFJ Bank,2006,42000,960000,intentionally lost
MongoDB,2019,2300,202000000,poor security
MongoDB,2019,2300,275000000,poor security
Mobile TeleSystems (MTS),2019,79000,100000000,misconfiguration
Monster.com,2007,5000,1600000,hacked
Morgan Stanley Smith Barney,2011,17500,34000,lost / stolen media
Mozilla,2014,1000,76000,poor security
MyHeritage,2018,400,92283889,unknown
Neiman Marcus,2014,16000,1100000,hacked
Nemours Foundation,2011,8000,1055489,lost / stolen media
Network Solutions,2009,2000,573000,hacked
New York City Health & Hospitals Corp.,2010,38000,1700000,lost / stolen media
New York State Electric & Gas,2012,8000,1800000,inside job
New York Taxis,2014,50000,52000,poor security
Nexon Korea Corp,2011,3000,13200000,hacked
NHS,2011,1700000,8300000,lost / stolen media
Nintendo (Club Nintendo),2013,5000,240000,hacked
Nintendo (Nintendo Account),2020,6200,160000,hacked
Nippon Television,2016,3000,430000,hacked
Nival Networks,2016,150,1500000,hacked
Norwegian Tax Administration,2008,7500,3950000,accidentally published
Now:Pensions,2020,100,30000,rogue contractor
US Office of Personnel Management,2015,5500,21500000,hacked
Office of the Texas Attorney General,2012,4000,6500000,accidentally published
Ohio State University,2010,36000,760000,hacked
Orbitz,2018,1600,880000,hacked
Patreon,2015,200,2300000,hacked
PayPay,2020,1000,20076016,improper setting / hacked
Popsugar,2018,500,123857,hacked
Premera,2015,4600,11000000,hacked
Puerto Rico Department of Health,2010,10000,515000,hacked
Quest Diagnostics,2019,46000,11900000,poor security
Quora,2018,200,100000000,hacked
Rakuten,2020,17800,1381735,improper setting / hacked
Rambler.ru,2012,3000,98167935,hacked
RBS Worldpay,2008,4500,1500000,hacked
Restaurant Depot,2011,6500,200000,hacked
RockYou!,2009,150,32000000,hacked
Sakai City (Japan),2015,6000,680000,inside job
San Francisco Public Utilities Commission,2011,2800,180000,hacked
Scottrade,2015,3800,4600000,hacked
Scribd,2013,100,500000,hacked
Seacoast Radiology (PA),2010,30,231400,hacked
Sega,2011,8000,1290755,hacked
Service Personnel and Veterans Agency (UK),2008,1600,50500,lost / stolen media
SingHealth,2018,28000,1500000,hacked
Slack,2015,1000,500000,poor security
SlickWraps,2020,50,377428,poor security
SnapChat,2013,200,4700000,hacked
Sony Online Entertainment,2011,1200,24600000,hacked
Sony Pictures,2011,6000,1000000,hacked
Sony PlayStation Network,2011,1400,77000000,hacked
South Africa police,2013,193000,16000,hacked
South Carolina Government,2012,62000,6400000,inside job
South Shore Hospital (MA),2010,3500,800000,lost / stolen media
Southern California Medical-Legal Consultants,2011,200,300000,hacked
Spartanburg Regional Healthcare System,2011,5000,400000,lost / stolen computer
Stanford University,2008,10000,72000,lost / stolen computer
Starbucks,2008,176000,97000,lost / stolen computer
State of Texas,2011,370000,3500000,accidentally published
Steam,2011,400,35000000,hacked
StockX,2019,1000,6800000,hacked
Stratfor,2011,300,935000,accidentally published
Sutter Medical Center,2011,10000,4243434,lost / stolen computer
Syrian government (Syria Files),2012,10000,2434899,hacked
Taobao,2016,50000,20000000,hacked
Taringa!,2017,100,28722877,hacked
Target Corporation,2013,360000,110000000,hacked
TaxSlayer.com,2016,400,8800,hacked
TD Ameritrade,2007,5000,6300000,hacked
TD Bank,2012,85000,260000,hacked
TerraCom & YourTel,2013,500,170000,accidentally published
Tetrad,2020,100,120000000,poor security
Texas Lottery,2007,200,89000,inside job
Ticketfly (subsidiary of Eventbrite),2018,200,26151608,hacked
Tianya Club,2011,1500,28000000,hacked
TikTok,2020,1000,42000000,poor security
TK / TJ Maxx,2007,150000,94000000,hacked
T-Mobile - Deutsche Telekom,2006,227000,17000000,lost / stolen media
T-Mobile,2021,75000,45000000,hacked
Tricare,2011,5000,4901432,lost / stolen computer
Triple-S Salud Inc.,2010,2000,398000,lost / stolen media
Truecaller,2019,250,299055000,unknown
Tumblr,2013,200,65469298,hacked
Twitter,2013,2000,250000,hacked
Uber,2014,600,50000,poor security
Uber,2017,16000,57000000,hacked
Ubuntu,2013,500,2000000,hacked
UCLA Medical Center (Santa Monica),2015,2500,4500000,hacked
UK Home Office,2008,26000,84000,lost / stolen media
UK Ministry of Defence,2008,230000,1700000,lost / stolen media
UK Revenue & Customs,2007,110000,25000000,lost / stolen media
Universiti Teknologi MARA,2019,17000,1164540,hacked
Under Armour,2018,16400,150000000,hacked
University of California (Berkeley),2009,10000,160000,hacked
University of California (Berkeley),2016,14000,80000,hacked
University of Maryland (College Park),2014,9000,300000,hacked
University of Central Florida,2016,10500,63000,hacked
University of Miami,2008,13000,2100000,lost / stolen computer
University of Utah Hospital & Clinics,2008,15000,2200000,lost / stolen media
University of Wisconsin and Milwaukee,2011,5000,73000,hacked
United States Postal Service,2018,633000,60000000,poor security
U.S. Army,2011,561979,50000,accidentally published
U.S. Army(classified Iraq War documents),2010,561979,392000,inside job
U.S. Department of Defense,2009,19000,72000,lost / stolen media
U.S. Department of Veteran Affairs,2006,230000,26500000,lost / stolen computer
U.S. law enforcement (70 different agencies),2011,1000000,123461,accidentally published
National Archives and Records Administration (U.S. military veterans records),2009,3200,76000000,lost / stolen media
U.S. government (United States diplomatic cables leak),2010,68000,260000,inside job
National Guard of the United States,2009,358200,131000,lost / stolen computer
Vastaamo,2020,100,130000,hacked
Verizon Communications,2016,177700,1500000,hacked
Virgin Media,2020,12500,900000,accidentally published
Virginia Department of Health,2009,3800,8257378,hacked
Virginia Prescription Monitoring Program,2009,30,531400,hacked
Vodafone,2013,91000,2000000,inside job
VTech,2015,30000,5000000,hacked
Walmart,2015,2200000,1300000,hacked
Washington Post,2011,2000,1270000,hacked
Washington State court system,2013,4000,160000,hacked
Wattpad,2020,200,270000000,hacked
Wawa,2020,36000,30000000,hacked
Weebly,2016,250,43430316,hacked
Writerspace.com,2011,10,62000,hacked
Xat.com,2015,20,6054459,social engineering
Yahoo,2013,12000,3000000000,hacked
Yahoo,2014,12500,500000000,hacked
Yahoo Japan,2013,7000,22000000,hacked
Yahoo! Voices,2012,8500,450000,hacked
Yale University,2010,12000,43000,accidentally published
YouTube,2020,10000,4000000,poor security
Zappos,2012,1500,24000000,hacked
Zynga,2019,1800,173000000,hacked
Westpac,2019,36000,98000,hacked
United States Census Bureau,2020,10000,200000000,accidentally published
National Health Information Center (NCZI) of Slovakia,2020,500,391250,poor security
Les Editions Protegez-vous,2020,50,380000,unknown
IKEA,2022,95000,231000,accidentally published
Consumer Financial Protection Bureau,2023,1500,256000,poor security
Evide,2023,10,1000,hacked
VirusTotal,2023,200,5600,accidentally published
Bangladesh government,2023,2000000,5000000,poor security
T-Mobile,2023,60000,37000000,hacked
Iberdrola,2022,37000,1300000,poor security
International Committee of the Red Cross,2022,18000,515000,unknown
Medibank & AHM,2022,11000,9700000,hacked
Morinaga Confectionary,2022,4000,1648922,ransomware hacked
Optus,2022,9000,9800000,hacked
CyberServe,2021,250,1107034,hacked
Daedalus Biologie,2021,4800,500000,poor security
goregrish.com,2021,200,300000,hacked
NEC Networks LLC,2021,12000,1600000,hacked
